basis,sigma,delta,runs,alpha_mean,alpha_sd,alpha_ci95,Esol_mean,Esol_sd,Esol_ci95,Eres_mean,Eres_sd,Eres_ci95,kreg_mean,kreg_sd,kreg_ci95,sigma_max,sigma_min,kappa_A
Legendre,0.1,0.01,30,0.005722279308037056,0.0008922225710308842,0.0003192777465996621,0.0252997498938598,0.005011906122491722,0.0017934875723994844,0.010104930705559205,1.684585017401424e-05,6.028210065231152e-06,173.50732369024894,27.538605354391105,9.85456336515727,0.9818039364438713,4.6889449657126054e-11,20938696095.245407
Legendre,0.1,0.05,30,0.027472459533625173,0.004839637023845208,0.0017318418671568294,0.06689633317008883,0.009566477261391891,0.003423319922724062,0.050576931529444,0.00042267196062577067,0.00015125121860965106,37.13369892909373,6.291234536080646,2.2512893657117203,0.9818039364438713,4.6889449657126054e-11,20938696095.245407
B-spline,0.1,0.0001,30,6.176612064517987e-05,7.885587207212127e-06,2.8218211418086405e-06,0.0039811107393233945,0.0006446160671717896,0.00023067289713456628,0.00010100053868411292,1.6820230847787806e-09,6.019042307081382e-10,15872.062443310067,2185.532235967849,782.0826664522724,0.9818039364510864,5.572689068472929e-10,1761813595.5324848
B-spline,0.1,0.001,30,0.0006111205129586593,8.486406995734698e-05,3.0368217419059144e-05,0.008755019937494777,0.0023466541462546114,0.0008397394015702295,0.0010100534542493063,1.6822730757910702e-07,6.019936888429864e-08,1608.7515209036785,232.41415624111607,83.16833769043572,0.9818039364510864,5.572689068472929e-10,1761813595.5324848
B-spline,0.1,0.01,30,0.0057223278618017395,0.0008922010439303639,0.0003192700432256744,0.025300526410281042,0.005011717480834923,0.0017934200678495513,0.010104930705558715,1.6845850174040114e-05,6.0282100652404105e-06,173.5055734560179,27.537277837317546,9.854088319273451,0.9818039364510864,5.572689068472929e-10,1761813595.5324848
B-spline,0.1,0.05,30,0.027472533543691422,0.004839602708153486,0.0017318295874442532,0.06689644788708263,0.009566212568912456,0.00342322520373676,0.050576931529443384,0.00042267196062605993,0.00015125121860975457,37.13357864107981,6.291137300451799,2.2512545703888094,0.9818039364510864,5.572689068472929e-10,1761813595.5324848
LLMW,0.1,0.0001,30,6.178396583178108e-05,7.894180945146412e-06,2.8248963714336397e-06,0.003797268783777274,0.000600440691127959,0.00021486494183685313,0.00010100053868414897,1.6820230759345432e-09,6.019042275432685e-10,15868.062942700584,2190.5468656364683,783.8771286331367,0.9818030516604297,1.0225643227079094e-10,9601381838.361645
LLMW,0.1,0.001,30,0.0006103078815621903,8.497385385684e-05,3.0407503082951903e-05,0.0085846120258786,0.002354346032791965,0.0008424919078175318,0.0010100534542493156,1.6822730758125742e-07,6.019936888506816e-08,1611.045078586937,233.3395056228696,83.49946971400949,0.9818030516604297,1.0225643227079094e-10,9601381838.361645
LLMW,0.1,0.01,30,0.005715963499556873,0.0008933517031067404,0.0003196818013237835,0.025177072898296175,0.004993172809310557,0.0017867839423714774,0.010104930705559134,1.6845850174013524e-05,6.028210065230896e-06,173.71678426183254,27.634036342540917,9.888712905688449,0.9818030516604297,1.0225643227079094e-10,9601381838.361645
LLMW,0.1,0.05,30,0.02745255373366247,0.004843730296516576,0.0017333066259705664,0.0668042922412011,0.00957321246239997,0.003425730083451413,0.050576931529443744,0.0004226719606262002,0.00015125121860980474,37.163034777694314,6.305158777107795,2.2562720913707692,0.9818030516604297,1.0225643227079094e-10,9601381838.361645
