basis,factor,alpha,alpha_morozov,E2,residual
Haar,46.41588833612777,0.03771617461673241,0.0008125703496958833,0.04896536569847336,0.037863355290009705
Haar,68.12920690579608,0.05535977347994591,0.0008125703496958833,0.06299186565795636,0.054570238639736784
Haar,100.0,0.08125703496958833,0.0008125703496958833,0.0843420789683433,0.07805952060996103
Hybrid,0.01,8.17809224628538e-06,0.0008178092246285381,0.040680186724326314,0.0004562268198725612
Hybrid,0.014677992676220698,1.2003797809643409e-05,0.0008178092246285381,0.033100484192056,0.0004627576475705554
Hybrid,0.021544346900318832,1.7619165633677992e-05,0.0008178092246285381,0.02773354290616414,0.0004684479025683804
Hybrid,0.03162277660168379,2.58613984132245e-05,0.0008178092246285381,0.02391792941218273,0.00047368420713905497
Hybrid,0.046415888336127774,3.795934165061346e-05,0.0008178092246285381,0.021055490486278847,0.0004790674648965963
Hybrid,0.06812920690579612,5.5716693874186366e-05,0.0008178092246285381,0.01871596833343785,0.00048549219069788616
Hybrid,0.1,8.178092246285382e-05,0.0008178092246285381,0.016661650006921516,0.0004943752063246793
Hybrid,0.1467799267622069,0.00012003797809643404,0.0008178092246285381,0.014810618526267767,0.0005082020297636135
Hybrid,0.21544346900318834,0.00017619165633677992,0.0008178092246285381,0.013173993400231539,0.0005316678383940804
Hybrid,0.31622776601683794,0.000258613984132245,0.0008178092246285381,0.011795831406256816,0.0005736439999196685
Hybrid,0.46415888336127775,0.0003795934165061346,0.0008178092246285381,0.010715115206283272,0.0006496982180536938
Hybrid,0.6812920690579611,0.0005571669387418636,0.0008178092246285381,0.009953654098262916,0.000784018110525482
Hybrid,1.0,0.0008178092246285381,0.0008178092246285381,0.009517775302104833,0.0010099657556229924
Hybrid,1.467799267622069,0.0012003797809643404,0.0008178092246285381,0.009401757588766402,0.0013713334055650674
Hybrid,2.154434690031882,0.0017619165633677982,0.0008178092246285381,0.009595228098597175,0.0019275647284926008
Hybrid,3.1622776601683795,0.00258613984132245,0.0008178092246285381,0.010102514798525987,0.002763502178515389
Hybrid,4.6415888336127775,0.003795934165061346,0.0008178092246285381,0.010972182154214865,0.004002962806463129
Hybrid,6.812920690579608,0.005571669387418633,0.0008178092246285381,0.012330624053013115,0.005826955770628473
Hybrid,10.0,0.00817809224628538,0.0008178092246285381,0.014420708151893296,0.00849869000704299
Hybrid,14.67799267622069,0.012003797809643403,0.0008178092246285381,0.01764556371410336,0.012397924732153936
Hybrid,21.54434690031882,0.017619165633677984,0.0008178092246285381,0.022607147446109522,0.018067039375423158
Hybrid,31.622776601683793,0.025861398413224497,0.0008178092246285381,0.030136162006213343,0.026269992022072614
Hybrid,46.41588833612777,0.03795934165061346,0.0008178092246285381,0.041332205718527706,0.038061555553436016
Hybrid,68.12920690579608,0.05571669387418633,0.0008178092246285381,0.05762424584943756,0.05485534475725154
Hybrid,100.0,0.0817809224628538,0.0008178092246285381,0.08081793200073183,0.07846205361617108
Legendre,0.01,8.179130886941036e-06,0.0008179130886941037,0.04069391394888137,0.00045606735502332123
Legendre,0.014677992676220698,1.2005322325637104e-05,0.0008179130886941037,0.0330729967989267,0.00046264570195484736
Legendre,0.021544346900318832,1.7621403317137015e-05,0.0008179130886941037,0.027684135324680666,0.0004683615386915479
Legendre,0.03162277660168379,2.5864682883366823e-05,0.0008179130886941037,0.023862563084327323,0.0004736047394894213
Legendre,0.046415888336127774,3.796416259348289e-05,0.0008179130886941037,0.021005463665679742,0.00047897975161858896
Legendre,0.06812920690579612,5.572377005059936e-05,0.0008179130886941037,0.01867751766811521,0.0004853855717647253
Legendre,0.1,8.179130886941037e-05,0.0008179130886941037,0.016636568175117356,0.0004942454086047739
Legendre,0.1467799267622069,0.00012005322325637099,0.0008179130886941037,0.014797480877976821,0.0005080529575024677
Legendre,0.21544346900318834,0.00017621403317137017,0.0008179130886941037,0.013169663918204955,0.0005315114843474944
Legendre,0.31622776601683794,0.0002586468288336682,0.0008179130886941037,0.011796852757044049,0.0005734980307307838
